# REDSHIFT   LOG_LBOL            
  2.778      45.84303991013347   
  2.87       46.314126713029694  
  2.727      46.296427255424     
  2.591      45.99552078271677   
  2.593      46.34082007929671   
  2.899      46.21660733676777   
  2.552      45.958468849447634  
  2.934      47.87784053572395   
  4.612      47.173917030628864  
  2.658      45.55042274942924   
  2.29       46.536472647080785  
  3.247      46.86465218052728   
  1.975      47.57373247050335   
  2.475      45.960085169468115  
  2.155      46.40305706306015   
  2.754      46.07446936200362   
  2.372      46.042297751267135  
  2.268      46.58695633171494   
  3.071      46.2654428617633    
  2.54       45.8018577359038    
  3.241      46.471717039954626  
  3.67       46.93061605431909   
  2.087      47.306111417477794  
  3.178      46.15502481922559   
  2.671      46.02006542482582   
  2.202      46.101817208640014  
  3.074      46.7453126075956    
  2.577      46.31813211384808   
  3.229      46.20767511936924   
  3.752      47.30877415153184   
  2.737      45.74111121851204   
  1.742      45.721537598191304  
  2.467      46.459362622068     
  2.366      47.23265717118555   
  2.518      46.25111848039073   
  1.749      45.8115335795202    
  2.95       46.59936888438176   
  2.328      45.823312723082985  
  2.245      46.12357085820396   
  2.436      46.31654191634608   
  2.199      46.82863289963912   
  2.287      46.03625480083618   
  2.31       46.612288141069904  
  2.489      46.648169842151546  
  2.219      46.15284262638      
  0.87       45.39850597337989   
  3.095      46.37937990708476   
  0.913      46.19498694759435   
  1.903      46.069830265586205  
  2.558      46.486317193388324  
  4.71       46.5519075327424    
  2.31       46.049367549635505  
  3.365      46.21413767488963   
  2.228      46.45998667218935   
  1.694      45.73026037352231   
  2.477      46.71392449061491   
  2.382      46.416746118274794  
  2.387      46.276590676617566  
  1.905      45.57437119612106   
  2.953      46.58387454626434   
  3.856      46.55312259838588   
  2.23       46.42969156804103   
  2.085      47.116898404008886  
  3.182      46.914651205061546  
  2.274      47.179912275585906  
  2.208      45.39639731252009   
  3.181      47.278396221915756  
  2.425      47.232901316710425  
  2.608      47.09471114026561   
  2.712      46.19211087016919   
  2.498      47.044991522583004  
  3.174      46.904341136208274  
  3.887      46.5569013906953    
  3.864      46.851687872413244  
  0.592      45.173592813552986  
  2.46       45.62486565648299   
  2.433      46.12957971869463   
  0.727      46.04224510748468   
  2.146      45.56988818803921   
  0.763      45.630626310947115  
  2.22       46.12637899780077   
  2.608      47.74494716638911   
  3.246      46.77551764852024   
  3.189      46.65519876275015   
  3.114      47.067009906243406  
  0.577      45.78432054922228   
  2.603      46.95100323518422   
  2.187      45.7010955495074    
  2.288      46.656675997015114  
  2.955      46.341941423630054  
  2.153      46.183552878895945  
  3.365      46.675859927326435  
  0.954      45.30169106047574   
  2.611      46.0971163668984    
  2.655      46.09220876389776   
  2.483      45.672216027822486  
  2.932      46.70229942872328   
  0.355      43.864357865584324  
  1.434      45.81234992684808   
  2.023      46.55433134410991   
  2.455      46.923217338927145  
  0.378      44.43448502491237   
  2.123      45.77106485060936   
  2.611      46.471661275366536  
  3.862      47.095419258007254  
  2.524      46.83769214081661   
  2.786      47.05991877414911   
  2.531      46.458411356333045  
  3.342      46.616481100882     
  2.305      46.06139754613822   
  2.279      45.7937907384363    
  2.124      46.87888886346766   
  3.864      46.62519387972763   
  3.495      47.1845948186943    
  3.044      46.92997033404446   
  1.626      46.26160288488575   
  1.785      45.782497112413765  
  1.759      46.20808307554396   
  2.085      46.39815163413253   
  2.32       -999.0              
  3.54       47.80159237406812   
  3.088      46.59714715341521   
  3.031      47.78583095425447   
  3.855      46.645087201933734  
