# plate	mjd	fiber	RA	DEC	REDSHIFT	A1	wl1	sigma1	FWHM1	EW1	A2	wl2	sigma2	FWHM2	EW2	A3	wl3	sigma3	FWHM3	EW3	EW_T	FWHM_T	g_no	R2	wl_T	vel_peak	wl_broad	vel_broad	LOG_L1350	LOG_L1350_ERR	LOG_L3000	LOG_L3000_ERR	LOG_MBH	LOG_MBH_ERR	Band	Cont_sens
4195	55452	210	324.89934	-0.87125296	2.522	12.766	1539.055	14.234	33.518	35.570	4.360	1545.470	4.808	11.322	12.058	2.585	1600.000	144.586	340.474	92.113	40.085	39.44852131247717	3	0.9286840002307961	1542.448	1360.542	1600.000	-11185.886	46.11839749778838	0.002198046324632846	-999.0	-999.0	9.275944588305606	0.16464465780938345	6	0.04787419940012872
4196	55478	984	327.68436	0.70826885	1.542	6.064	1547.986	22.292	52.493	54.420	24.140	1546.834	5.260	12.385	13.185	0.000	1547.439	0.000	0.000	nan	21.470	16.54348547380141	2	0.8329763804579589	1541.787	1488.411	1547.986	-1205.297	-999.0	-999.0	45.26096406420903	0.0069438029828383	8.854845836950691	0.036546777798086925	6	0.04787422353184635
4197	55479	860	328.63135	0.20732156	1.763	1.900	1542.598	8.136	19.159	20.396	1.902	1542.395	8.365	19.698	20.969	1.284	1554.644	20.839	49.071	51.197	29.509	0.0	3	0.6828150282169589	1542.479	1354.607	1554.644	-2364.337	45.22093904877789	0.005329364273023797	45.371696969879615	0.0057991848707501644	8.546454909975198	0.11811347289933603	6	0.07708480081576985
4197	55479	628	327.56027	0.92784271	2.325	14.624	1500.000	54.753	128.934	63.834	25.086	1536.263	8.556	20.149	21.451	8.871	1530.356	0.000	0.000	nan	39.927	0.0	2	0.8766691155975807	1535.000	2801.582	1500.000	6835.659	46.64269434556473	0.0008855387773431063	46.24983995683832	0.001039044240731992	9.51992571345619	0.06970870064414411	6	0.047874222400461804
4200	55499	677	332.84316	0.79776546	2.38	5.800	1549.360	6.855	16.143	17.186	2.463	1557.252	26.395	62.157	61.549	4.677	1550.357	0.000	0.000	nan	30.802	0.0	2	0.8478035712802092	1545.907	691.282	1557.252	-2200.166	45.75726711947452	0.0033541970352249633	45.60110153974141	0.004091381803068711	8.759537695110321	0.13808591763720052	6	0.0672071850439896
4201	55443	832	335.24576	0.98806777	2.644	14.278	1543.624	9.318	21.942	23.368	10.287	1553.365	34.198	80.530	73.061	3.658	1545.916	0.000	0.000	nan	44.886	45.688881263556596	2	0.9165369515744763	1542.133	1421.568	1553.365	-2183.556	46.36968401472476	0.001359423826261326	-999.0	-999.0	9.480800444271944	0.07341250260787048	6	0.06720722510319817
4201	55443	614	334.40225	0.27293554	3.091	3.508	1547.889	3.549	8.357	8.859	1.158	1553.446	39.559	93.155	78.291	0.464	1542.638	0.000	0.000	nan	26.161	0.0	2	0.44387957732182914	1533.806	3032.529	1553.446	-3838.727	45.650834841353216	0.005920218572885857	-999.0	-999.0	7.778912805716954	0.3147350575682559	7	0.2393161079977859
4202	55445	501	335.13541	0.42707466	4.196	15.307	1551.453	4.214	9.924	10.564	9.189	1547.842	19.452	45.807	48.226	11.548	1548.822	0.000	0.000	nan	24.849	13.76827044053698	2	0.8851391576753379	1549.997	-99.966	1547.842	416.758	46.393833074211685	0.003658595560755372	-999.0	-999.0	8.739550726741323	0.05472505158246098	7	0.024159946219238285
4202	55445	836	336.6939	0.86981104	2.247	2.516	1562.144	0.000	0.000	nan	2.516	1562.144	0.000	0.000	nan	1.510	1562.144	0.000	0.000	nan	nan	0.0	0	-0.20714280366415427	1500.091	9555.758	0.000	-9999.000	44.83997918017791	0.011383847172728306	45.484075748828445	0.007557892962557436	8.083237062906909	0.38539262429012516	6	0.06720725012519577
4203	55447	764	338.10863	0.96210229	2.699	2.006	1541.838	9.999	23.545	25.064	2.025	1536.344	12.354	29.091	30.916	2.387	1530.248	39.000	91.838	72.608	45.910	35.223859858322385	3	0.5301288325106632	1537.856	2248.930	1530.248	1483.199	45.7533619461386	0.004364380957839167	-999.0	-999.0	8.930752864732659	0.2541825896694833	6	0.06720727525695766
4210	55444	44	350.93459	-1.0466878	2.103	3.661	1550.042	3.896	9.174	9.768	2.698	1549.193	19.052	44.865	47.325	0.000	1549.997	3.749	8.829	nan	25.712	9.330226151036186	2	0.6751512345538322	1548.169	253.691	1549.193	-198.245	45.361430922704066	0.0057810297550788025	45.477197053762715	0.010386303321367741	8.188437802005428	0.18387969692198455	6	0.07553986475930283
4210	55444	242	349.9857	-1.0312764	2.6	2.359	1545.942	2.784	6.557	6.994	8.178	1545.708	11.610	27.339	29.100	2.452	1544.514	38.126	89.780	76.832	34.106	0.0	3	0.8971598257435721	1541.691	1506.969	1544.514	-548.923	45.796630079143114	0.003581213439110461	-999.0	-999.0	8.346810686440893	0.368381999177584	6	0.07553985917113111
4212	55447	932	354.24809	0.64540888	2.717	6.654	1536.628	17.044	40.135	42.038	7.734	1551.273	9.359	22.039	23.461	5.578	1510.146	156.183	367.783	94.865	54.911	0.0	3	0.7989887289019868	1543.858	1087.674	1510.146	6546.485	46.4189431852893	0.0012422160906455505	-999.0	-999.0	9.674660702923825	0.08678182275174627	6	0.06268268772710736
4212	55447	952	354.36832	0.75936868	2.722	10.848	1548.125	13.436	31.639	33.843	3.034	1541.229	62.905	148.129	89.092	6.501	1547.845	0.000	0.000	nan	46.006	55.53000078318519	2	0.7710858182459936	1544.271	1007.748	1541.229	590.694	46.26624856741476	0.0018301029707610877	-999.0	-999.0	9.741762617728098	0.2858098011940575	6	0.0626826892967859
4213	55449	716	354.85275	0.73225573	2.439	1.452	1536.105	13.374	31.494	33.413	1.449	1544.465	10.400	24.489	26.068	0.646	1567.477	45.340	106.767	78.873	41.856	0.0	3	0.4935129141459408	1540.522	1733.171	1567.477	-5245.561	45.36643836093968	0.00664604625638987	45.7742416801474	0.005454143372876241	8.966896991716897	0.22895933302895	7	0.9632368828814921
4213	55449	532	353.89297	0.23206032	2.266	7.638	1550.293	9.824	23.133	24.626	4.084	1546.982	6.285	14.800	15.754	5.141	1551.529	31.302	73.710	69.637	36.786	27.706340308461677	3	0.9380447453056208	1543.774	1103.939	1551.529	-1505.882	45.922355655725426	0.002864377161298148	45.822665656542	0.0028301265528994967	9.02413853940074	0.07884773724746866	6	0.06268268184105359
4214	55451	852	357.12674	0.65514898	1.998	90.669	1548.957	2.934	6.909	7.359	108.010	1548.994	8.851	20.842	22.187	51.545	1560.895	31.501	74.179	68.317	26.696	15.255677231173877	3	0.996953015054465	1543.364	1183.408	1560.895	-3405.508	46.50283831103585	0.0008740500760423697	46.46352029943609	0.0008312487803949369	8.94225788193859	0.010069306243082351	6	0.06268273476210096
4215	55471	42	359.64434	-0.80972906	2.272	2.946	1552.354	44.884	105.694	82.314	8.454	1544.481	16.239	38.240	40.566	7.194	1546.999	5.039	11.866	12.632	36.601	24.58881872845518	3	0.9408590920223912	1544.852	895.502	1552.354	-1455.897	46.05175305970251	0.0025536283842982274	45.91828344406411	0.002208819803241799	9.040886008663975	0.06402211281214097	6	0.06268277697281079
4215	55471	81	359.26684	-1.1875459	2.142	4.295	1553.744	29.308	69.015	66.672	8.274	1548.907	10.142	23.881	25.423	4.665	1550.164	0.000	0.000	nan	39.690	27.675904114432342	2	0.9072391383520411	1546.656	546.349	1553.744	-1373.798	45.50412439692927	0.007544010513373425	45.473583798198504	0.007582074944288997	8.888993404720502	0.05506764641740985	6	0.06268277042466197
4215	55471	929	359.28623	0.65825169	2.495	4.247	1538.662	9.934	23.393	24.900	4.109	1548.932	8.172	19.244	20.485	3.367	1547.707	50.838	119.714	85.848	45.676	30.66844572340119	3	0.8324022559612483	1542.954	1262.712	1547.707	-923.518	46.0166762678268	0.0026764325457111875	-999.0	-999.0	9.28703199071799	0.028900715284565975	6	0.06268277070644587
4215	55471	925	359.40544	0.59618819	2.376	1.483	1554.780	13.163	30.996	32.984	1.533	1570.724	21.616	50.902	49.214	4.734	1536.467	10.369	24.418	25.987	42.497	60.967605783757335	3	0.6757226150383168	1537.084	2398.358	1570.724	-6561.077	45.60662754581857	0.006427542483896318	45.74302013120864	0.00509884063283484	9.194307719767085	0.2051593964330927	6	0.06268277250569185
4218	55479	248	3.5045478	-1.1019941	2.103	3.234	1546.534	33.690	79.333	72.494	2.679	1540.422	8.965	21.110	22.472	7.515	1551.855	5.881	13.848	14.744	33.851	17.451974390441364	3	0.9134284442571257	1547.812	322.741	1546.534	247.430	45.72342256983611	0.0031298173578389677	45.7531774036877	0.004787238920040299	8.632499684839566	0.05741164240944153	7	0.9632374094044225
4218	55479	394	2.8411196	-0.15516989	3.009	4.905	1544.470	10.944	25.772	27.323	16.435	1544.039	18.083	42.582	44.928	7.683	1595.627	104.522	246.130	88.035	55.017	0.0	3	0.8753370645828231	1540.508	1735.949	1595.627	-10726.540	46.74520042109421	0.0007761559713184905	-999.0	-999.0	10.083117476751058	0.04169868989297028	7	0.9605866557422721
4226	55475	560	15.815379	0.59005402	2.07	4.154	1535.059	19.831	46.699	47.789	2.845	1548.221	6.578	15.489	16.489	0.000	1539.092	4.172	9.825	nan	39.178	0.0	2	0.6966838827816848	1542.984	1256.746	1535.059	1539.917	45.72907614260591	0.004023373717363326	45.48873398183538	0.00345239553265353	9.274172432961258	0.07805859040089361	7	0.8044048396395762
