# plate	mjd	fiber	RA	DEC	REDSHIFT	A1	wl1	sigma1	FWHM1	EW1	A2	wl2	sigma2	FWHM2	EW2	A3	wl3	sigma3	FWHM3	EW3	EW_T	FWHM_T	g_no	R2	wl_T	vel_peak	wl_broad	vel_broad	LOG_L1350	LOG_L1350_ERR	LOG_L3000	LOG_L3000_ERR	LOG_MBH	LOG_MBH_ERR	Band	Cont_sens
4197	55479	628	327.56027	0.92784271	2.325	0.159	2799.934	0.000	0.000	nan	0.159	2799.917	0.000	0.000	nan	9.228	2801.451	44.121	103.898	107.928	107.928	101.40459159320972	1	0.40655180857803486	2801.614	-267.393	0.000	-9999.000	46.64269434556473	0.0008855387773431063	46.24983995683832	0.001039044240731992	9.51992571345619	0.06970870064414411	6	0.047874222400461804
4200	55499	677	332.84316	0.79776546	2.38	0.000	2787.994	33.864	79.744	nan	0.000	2788.023	33.871	79.760	nan	1.578	2806.324	32.382	79.744	80.965	80.965	76.25684663364609	1	0.018353268199381212	2806.617	-803.293	0.000	-9999.000	45.75726711947452	0.0033541970352249633	45.60110153974141	0.004091381803068711	8.759537695110321	0.13808591763720052	6	0.0672071850439896
4202	55445	836	336.6939	0.86981104	2.247	0.653	2814.959	8.755	20.616	21.958	0.280	2789.051	20.440	48.133	51.240	0.475	2774.398	92.719	218.338	162.932	87.245	0.0	3	0.09563165919910033	2806.194	-757.964	2774.398	3396.811	44.83997918017791	0.011383847172728306	45.484075748828445	0.007557892962557436	8.083237062906909	0.38539262429012516	6	0.06720725012519577
4210	55444	44	350.93459	-1.0466878	2.103	1.983	2810.061	15.822	37.257	39.659	1.213	2792.089	1.760	4.144	4.424	0.000	2814.533	10.747	25.307	nan	37.395	0.0	2	0.3061846113531266	2784.955	1516.770	2810.061	-2702.616	45.361430922704066	0.0057810297550788025	45.477197053762715	0.010386303321367741	8.188437802005428	0.18387969692198455	6	0.07553986475930283
4213	55449	716	354.85275	0.73225573	2.439	1.781	2797.812	16.799	39.558	42.116	0.830	2773.456	0.000	0.000	nan	0.000	2799.839	14.069	39.558	nan	42.116	39.56302382795275	1	0.007320547139448519	2798.130	105.757	0.000	-9999.000	45.36643836093968	0.00664604625638987	45.7742416801474	0.005454143372876241	8.966896991716897	0.22895933302895	7	0.9632368828814921
4213	55449	532	353.89297	0.23206032	2.266	0.000	2807.990	59.941	141.150	nan	3.628	2808.239	19.907	46.878	49.907	0.000	2803.342	48.032	113.107	nan	49.907	0.0	1	0.07877328050896804	2804.038	-527.057	0.000	-9999.000	45.922355655725426	0.002864377161298148	45.822665656542	0.0028301265528994967	9.02413853940074	0.07884773724746866	6	0.06268268184105359
4214	55451	852	357.12674	0.65514898	1.998	5.000	2811.235	21.270	50.087	53.317	15.040	2797.550	7.834	18.448	19.638	14.823	2799.225	44.123	103.902	107.940	63.673	42.41263527171668	3	0.9760815048123308	2787.201	1276.209	2799.225	-1293.229	46.50283831103585	0.0008740500760423697	46.46352029943609	0.0008312487803949369	8.94225788193859	0.010069306243082351	6	0.06268273476210096
4215	55471	42	359.64434	-0.80972906	2.272	1.326	2743.419	0.000	0.000	nan	2.721	2817.648	38.758	91.267	95.321	0.000	2817.556	0.000	0.000	nan	95.321	0.0	1	0.19823783039738785	2813.757	-1567.993	0.000	-9999.000	46.05175305970251	0.0025536283842982274	45.91828344406411	0.002208819803241799	9.040886008663975	0.06402211281214097	6	0.06268277697281079
4215	55471	81	359.26684	-1.1875459	2.142	0.000	2788.202	23.584	55.537	nan	2.788	2806.757	36.751	86.541	91.405	0.000	2799.742	28.489	55.537	nan	91.405	86.54113477640112	1	0.13071923021451204	2806.686	-810.659	0.000	-9999.000	45.50412439692927	0.007544010513373425	45.473583798198504	0.007582074944288997	8.888993404720502	0.05506764641740985	6	0.06268277042466197
4215	55471	929	359.28623	0.65825169	2.495	20.003	2900.000	0.000	0.000	nan	20.003	2900.000	0.000	0.000	nan	12.002	2900.000	0.000	0.000	nan	nan	0.0	0	0.0063305353716425206	2699.933	10622.892	0.000	-9999.000	46.0166762678268	0.0026764325457111875	-999.0	-999.0	9.28703199071799	0.028900715284565975	6	0.06268277070644587
